disease,date,count
herpes-simplex-questions,2012-10,6
hiccup-questions,2012-10,4
high-blood-pressure-questions,2012-10,9
high-cholesterol-questions,2012-10,3
hike-questions,2012-10,4
hip-pain-questions,2012-10,2
hives-questions,2012-10,6
hiv-questions,2012-10,15
honey-questions,2012-10,5
hormone-questions,2012-10,11
hot-flash-questions,2012-10,15
hunger-questions,2012-10,26
hydrocodone-questions,2012-10,7
hydrocortisone-questions,2012-10,4
hydrogen-peroxide-questions,2012-10,2
hyperactive-behavior-questions,2012-10,5
hyperthyroidism-questions,2012-10,2
hypoglycemia-questions,2012-10,3
hypothyroidism-questions,2012-10,6
hysterectomy-questions,2012-10,11
ibuprofen-questions,2012-10,18
ice-cream-questions,2012-10,5
immune-system-questions,2012-10,6
immunization-questions,2012-10,2
immunotherapy-questions,2012-10,7
impetigo-questions,2012-10,3
impotence-questions,2012-10,2
index-finger-questions,2012-10,7
indigestion-questions,2012-10,2
infant-questions,2012-10,6
infertility-questions,2012-10,4
inflammation-questions,2012-10,5
inhaler-questions,2012-10,2
injection-questions,2012-10,24
injury-questions,2012-10,24
insomnia-questions,2012-10,4
instability-questions,2012-10,2
insulin-questions,2012-10,28
insulin-resistance-questions,2012-10,2
insurance-questions,2012-10,26
intestine-questions,2012-10,9
iodine-questions,2012-10,2
iris-questions,2012-10,2
iron-questions,2012-10,15
irregularity-questions,2012-10,21
ischemia-questions,2012-10,2
itch-questions,2012-10,47
jaw-questions,2012-10,14
jelly-questions,2012-10,2
keratosis-pilaris-questions,2012-10,2
kidney-infection-questions,2012-10,2
kidney-questions,2012-10,15
kidney-stone-questions,2012-10,14
knee-pain-questions,2012-10,2
knee-questions,2012-10,53
laboratory-test-questions,2012-10,2
labor-questions,2012-10,2
lactate-questions,2012-10,2
lactose-intolerance-questions,2012-10,2
lactose-questions,2012-10,5
laparoscopic-surgery-questions,2012-10,2
lap-band-surgery-questions,2012-10,2
large-intestine-questions,2012-10,4
laryngitis-questions,2012-10,3
leg-questions,2012-10,98
lens-questions,2012-10,5
leukemia-questions,2012-10,2
lice-questions,2012-10,2
ligament-questions,2012-10,4
lightheadedness-questions,2012-10,16
limb-questions,2012-10,2
lip-questions,2012-10,23
lithium-questions,2012-10,4
lithotomy-questions,2012-10,2
liver-questions,2012-10,11
long-term-effect-questions,2012-10,2
lotion-questions,2012-10,2
lumbar-puncture-questions,2012-10,2
lumbar-spinal-stenosis-questions,2012-10,2
lump-questions,2012-10,50
lung-cancer-questions,2012-10,2
lung-questions,2012-10,20
lupus-questions,2012-10,2
lymphedema-questions,2012-10,2
lymph-node-questions,2012-10,11
magnesium-questions,2012-10,6
makeup-questions,2012-10,4
manic-depressive-questions,2012-10,2
marijuana-questions,2012-10,9
massage-questions,2012-10,2
masturbation-questions,2012-10,8
meal-questions,2012-10,35
meat-questions,2012-10,8
melatonin-questions,2012-10,6
memory-loss-questions,2012-10,2
meningitis-questions,2012-10,6
meniscus-questions,2012-10,5
menopause-questions,2012-10,9
menstrual-questions,2012-10,9
metabolism-questions,2012-10,2
methadone-questions,2012-10,4
migraine-questions,2012-10,19
milk-questions,2012-10,30
mineral-oil-questions,2012-10,3
miscarriage-questions,2012-10,13
molar-questions,2012-10,2
mold-questions,2012-10,2
mole-questions,2012-10,8
mood-swing-questions,2012-10,8
morphine-questions,2012-10,8
mouth-questions,2012-10,40
movement-questions,2012-10,56
mucus-questions,2012-10,22
multivitamin-questions,2012-10,11
muscle-questions,2012-10,41
mushroom-questions,2012-10,2
nail-questions,2012-10,12
naproxen-questions,2012-10,2
nasal-spray-questions,2012-10,4
nausea-questions,2012-10,68
neck-questions,2012-10,66
nerve-questions,2012-10,14
nervousness-questions,2012-10,9
newborn-questions,2012-10,8
niacin-questions,2012-10,2
nicotine-questions,2012-10,2
nightmare-questions,2012-10,6
night-terror-questions,2012-10,2
nipple-questions,2012-10,27
noodle-questions,2012-10,2
nose-questions,2012-10,27
nostril-questions,2012-10,4
numbness-questions,2012-10,9
nutrition-questions,2012-10,2
oatmeal-questions,2012-10,13
obesity-questions,2012-10,7
oil-questions,2012-10,6
olive-questions,2012-10,4
onion-questions,2012-10,2
oral-herpes-questions,2012-10,2
orange-questions,2012-10,4
organ-questions,2012-10,2
orgasm-questions,2012-10,12
ovary-questions,2012-10,31
over-the-counter-questions,2012-10,27
ovulation-questions,2012-10,19
oxycodone-questions,2012-10,4
pacemaker-questions,2012-10,6
painkiller-questions,2012-10,2
pain-questions,2012-10,324
pain-relief-questions,2012-10,2
palpation-questions,2012-10,5
palpitation-questions,2012-10,4
pancreas-questions,2012-10,7
pancreatic-cancer-questions,2012-10,3
pancreatitis-questions,2012-10,5
panic-attack-questions,2012-10,12
panic-disorder-questions,2012-10,2
paranoid-behavior-questions,2012-10,4
parkinsons-disease-questions,2012-10,4
pasta-questions,2012-10,3
peanut-butter-questions,2012-10,2
peanut-questions,2012-10,3
pea-questions,2012-10,4
pectoral-muscle-questions,2012-10,2
pelvic-area-questions,2012-10,9
pelvic-pain-questions,2012-10,4
pelvis-questions,2012-10,15
penicillin-questions,2012-10,2
penis-questions,2012-10,59
peppermint-questions,2012-10,2
period-questions,2012-10,270
phlebotomy-questions,2012-10,2
pilates-questions,2012-10,6
pilonidal-cyst-questions,2012-10,2
pink-eye-questions,2012-10,2
plant-questions,2012-10,2
platelet-questions,2012-10,4
pneumonia-questions,2012-10,5
poison-ivy-questions,2012-10,20
polyp-questions,2012-10,2
pore-questions,2012-10,3
post-menopause-questions,2012-10,2
post-nasal-drip-questions,2012-10,2
potassium-questions,2012-10,8
pregnancy-questions,2012-10,254
pregnancy-test-questions,2012-10,49
prenatal-vitamin-questions,2012-10,5
pressure-questions,2012-10,43
pressure-ulcer-questions,2012-10,2
prostate-cancer-questions,2012-10,7
prostate-questions,2012-10,7
prostatitis-questions,2012-10,6
protein-questions,2012-10,8
psoriasis-questions,2012-10,3
psychosis-questions,2012-10,5
puberty-questions,2012-10,11
puffiness-questions,2012-10,4
pulmonary-embolism-questions,2012-10,2
pulmonary-hypertension-questions,2012-10,2
pulse-questions,2012-10,6
puncture-questions,2012-10,4
quit-smoking-questions,2012-10,4
range-of-motion-questions,2012-10,2
rash-questions,2012-10,47
raspberry-questions,2012-10,2
reaction-questions,2012-10,14
recipe-questions,2012-10,7
rectum-questions,2012-10,9
red-wine-questions,2012-10,2
restlessness-questions,2012-10,6
retina-questions,2012-10,2
retinitis-pigmentosa-questions,2012-10,2
rheumatoid-arthritis-questions,2012-10,4
rhinoplasty-questions,2012-10,2
ribcage-questions,2012-10,15
rice-questions,2012-10,4
ring-finger-questions,2012-10,2
ringworm-questions,2012-10,2
rotator-cuff-injury-questions,2012-10,2
rotator-cuff-questions,2012-10,2
running-questions,2012-10,46
runny-nose-questions,2012-10,2
sadness-questions,2012-10,2
salad-questions,2012-10,2
salt-questions,2012-10,2
scabies-questions,2012-10,4
scalp-questions,2012-10,8
scar-questions,2012-10,4
schizophrenia-questions,2012-10,4
scoliosis-questions,2012-10,6
scrape-questions,2012-10,4
screening-questions,2012-10,7
scrotum-questions,2012-10,8
seborrhea-questions,2012-10,2
seizure-disorder-questions,2012-10,2
seizure-questions,2012-10,20
serotonin-questions,2012-10,2
sexual-assault-questions,2012-10,2
sexual-intercourse-questions,2012-10,56
shaving-questions,2012-10,4
shellfish-questions,2012-10,3
shingles-questions,2012-10,51
shin-questions,2012-10,10
shock-questions,2012-10,4
short-attention-span-questions,2012-10,3
short-stature-questions,2012-10,13
short-term-memory-loss-questions,2012-10,2
shoulder-blade-questions,2012-10,7
shoulder-questions,2012-10,38
sinus-infection-questions,2012-10,9
sinus-questions,2012-10,17
skin-cancer-questions,2012-10,4
skin-questions,2012-10,89
skin-tag-questions,2012-10,2
skull-questions,2012-10,4
sleep-apnea-questions,2012-10,4
sleepiness-questions,2012-10,14
small-intestine-questions,2012-10,4
smell-questions,2012-10,12
smoking-questions,2012-10,33
snack-questions,2012-10,18
soda-questions,2012-10,13
soft-tissue-questions,2012-10,3
sore-questions,2012-10,6
sore-throat-questions,2012-10,28
soup-questions,2012-10,2
sour-cream-questions,2012-10,2
south-beach-diet-questions,2012-10,2
soy-milk-questions,2012-10,2
soy-questions,2012-10,5
spasm-questions,2012-10,2
sperm-questions,2012-10,10
spinal-cord-questions,2012-10,2
spine-questions,2012-10,25
spitting-up-questions,2012-10,2
spotting-questions,2012-10,42
sprain-questions,2012-10,12
stent-questions,2012-10,7
steroid-questions,2012-10,27
sting-questions,2012-10,9
stitches-questions,2012-10,8
stomach-questions,2012-10,121
strep-throat-questions,2012-10,2
stress-questions,2012-10,30
stroke-questions,2012-10,9
sty-questions,2012-10,2
subconjunctival-hemorrhage-questions,2012-10,2
suicide-questions,2012-10,2
supplement-questions,2012-10,4
surgery-questions,2012-10,89
sushi-questions,2012-10,2
swallow-questions,2012-10,14
sweating-questions,2012-10,35
swelling-questions,2012-10,78
syphilis-questions,2012-10,2
syrup-questions,2012-10,3
tailbone-questions,2012-10,2
tampon-questions,2012-10,11
taste-questions,2012-10,17
tattoo-questions,2012-10,3
tea-questions,2012-10,10
teething-questions,2012-10,2
temperature-questions,2012-10,12
tenderness-questions,2012-10,36
tension-headache-questions,2012-10,4
testicle-questions,2012-10,14
testosterone-questions,2012-10,6
thigh-questions,2012-10,25
throat-questions,2012-10,53
thumb-questions,2012-10,12
thyroid-cancer-questions,2012-10,2
thyroid-questions,2012-10,23
tibia-questions,2012-10,2
tick-questions,2012-10,2
tightness-questions,2012-10,19
tinnitus-questions,2012-10,5
toddler-questions,2012-10,2
toe-questions,2012-10,22
tongue-questions,2012-10,13
tonsil-questions,2012-10,15
toothache-questions,2012-10,3
tooth-questions,2012-10,25
torso-questions,2012-10,5
transplant-questions,2012-10,4
transvaginal-ultrasound-questions,2012-10,2
trichomoniasis-questions,2012-10,2
trigeminal-neuralgia-questions,2012-10,2
triglyceride-questions,2012-10,7
tubal-ligation-questions,2012-10,10
tumor-questions,2012-10,8
turkey-questions,2012-10,6
type-2-diabetes-questions,2012-10,8
ultrasound-questions,2012-10,33
urethra-questions,2012-10,16
urinalysis-questions,2012-10,2
urinary-tract-infection-questions,2012-10,6
urination-questions,2012-10,26
uterus-questions,2012-10,6
vaccination-questions,2012-10,10
vaccines-questions,2012-10,6
vaginal-discharge-questions,2012-10,6
vagina-questions,2012-10,57
varicose-vein-questions,2012-10,2
vasectomy-questions,2012-10,2
vegetable-questions,2012-10,6
vein-questions,2012-10,12
vertebra-questions,2012-10,2
vertigo-questions,2012-10,2
viral-pneumonia-questions,2012-10,2
virus-questions,2012-10,29
vision-questions,2012-10,136
vitamin-a-questions,2012-10,6
vitamin-d-questions,2012-10,3
vitamin-questions,2012-10,28
vomit-questions,2012-10,21
waist-questions,2012-10,8
walking-questions,2012-10,53
wart-questions,2012-10,12
weakness-questions,2012-10,13
weight-gain-questions,2012-10,15
weight-loss-questions,2012-10,27
weight-questions,2012-10,77
wheat-questions,2012-10,6
whitehead-questions,2012-10,6
whole-wheat-questions,2012-10,2
whooping-cough-questions,2012-10,6
wine-questions,2012-10,2
workout-questions,2012-10,9
worm-questions,2012-10,4
wound-care-questions,2012-10,2
wound-questions,2012-10,8
wrinkle-questions,2012-10,3
wrist-questions,2012-10,13
x-ray-questions,2012-10,26
yeast-infection-questions,2012-10,16
yeast-questions,2012-10,3
yogurt-questions,2012-10,8
zinc-questions,2012-10,5
abdominal-pain-questions,2012-11,12
abdominal-surgery-questions,2012-11,2
abscess-questions,2012-11,2
ace-inhibitor-questions,2012-11,2
acetaminophen-questions,2012-11,11
acne-questions,2012-11,17
addiction-questions,2012-11,5
adrenal-gland-questions,2012-11,2
adult-acne-questions,2012-11,1
aggression-questions,2012-11,2
aging-questions,2012-11,2
air-quality-questions,2012-11,2
allergy-questions,2012-11,8
almond-questions,2012-11,3
alzheimers-disease-questions,2012-11,2
ammonia-questions,2012-11,4
amoxicillin-questions,2012-11,8
anemia-questions,2012-11,15
anesthesia-questions,2012-11,2
aneurysm-questions,2012-11,2
anger-questions,2012-11,4
angiogram-questions,2012-11,2
angioplasty-questions,2012-11,2
ankle-questions,2012-11,14
antibiotic-questions,2012-11,66
antidepressant-questions,2012-11,9
anus-questions,2012-11,12
anxiety-questions,2012-11,37
appendix-questions,2012-11,8
armpit-questions,2012-11,18
arm-questions,2012-11,60
artery-questions,2012-11,2
arthritis-questions,2012-11,9
aspirin-questions,2012-11,11
asthma-questions,2012-11,11
atrial-fibrillation-questions,2012-11,5
atrophy-questions,2012-11,3
autism-questions,2012-11,2
autoimmune-disorder-questions,2012-11,2
b12-questions,2012-11,2
baby-questions,2012-11,51
back-pain-questions,2012-11,14
bacterial-pneumonia-questions,2012-11,2
bacterial-vaginosis-questions,2012-11,2
bacterium-questions,2012-11,12
bedbug-questions,2012-11,2
bells-palsy-questions,2012-11,2
belly-button-questions,2012-11,8
benign-questions,2012-11,2
beta-blocker-questions,2012-11,2
big-toe-questions,2012-11,8
biopsy-questions,2012-11,8
birth-control-pill-questions,2012-11,14
birth-control-questions,2012-11,42
birth-questions,2012-11,12
bladder-cancer-questions,2012-11,2
bladder-questions,2012-11,6
blindness-questions,2012-11,4
blister-questions,2012-11,35
bloating-questions,2012-11,5
blood-clot-questions,2012-11,19
blood-donation-questions,2012-11,4
blood-loss-questions,2012-11,2
blood-pressure-questions,2012-11,38
blood-sugar-questions,2012-11,25
blood-test-questions,2012-11,22
blood-thinner-questions,2012-11,2
boil-questions,2012-11,21
bowel-movement-questions,2012-11,28
brain-questions,2012-11,22
brain-tumor-questions,2012-11,2
breast-augmentation-questions,2012-11,2
breast-cancer-questions,2012-11,5
breastfeed-questions,2012-11,6
breast-questions,2012-11,37
broken-arm-questions,2012-11,2
bronchitis-questions,2012-11,8
brown-rice-questions,2012-11,2
bruise-questions,2012-11,29
burn-questions,2012-11,12
buttocks-questions,2012-11,7
caffeine-questions,2012-11,5
calcium-questions,2012-11,5
calorie-questions,2012-11,8
cancer-questions,2012-11,36
canker-sore-questions,2012-11,2
caterpillar-questions,2012-11,2
catheterization-questions,2012-11,2
catheter-questions,2012-11,2
cats-questions,2012-11,4
cavity-questions,2012-11,2
celiac-disease-questions,2012-11,3
cellulitis-questions,2012-11,2
cephalexin-questions,2012-11,2
cereal-questions,2012-11,2
cervical-cancer-questions,2012-11,5
cervix-questions,2012-11,6
cheekbones-questions,2012-11,2
chest-questions,2012-11,79
chickenpox-questions,2012-11,4
chlamydia-questions,2012-11,7
choking-questions,2012-11,2
cholesterol-questions,2012-11,10
chronic-obstructive-pulmonary-disease-questions,2012-11,2
chronic-pain-questions,2012-11,2
circulation-questions,2012-11,6
circumcision-questions,2012-11,10
clitoris-questions,2012-11,2
cocaine-questions,2012-11,2
coffee-questions,2012-11,13
coldness-questions,2012-11,74
cold-questions,2012-11,8
cold-sore-questions,2012-11,10
colic-questions,2012-11,2
colon-cancer-questions,2012-11,2
colonoscopy-questions,2012-11,6
colon-questions,2012-11,4
colposcopy-questions,2012-11,2
concentration-questions,2012-11,2
concussion-questions,2012-11,3
condom-questions,2012-11,28
confusion-questions,2012-11,15
congestive-heart-failure-questions,2012-11,2
constipation-questions,2012-11,9
consumption-questions,2012-11,2
cooking-questions,2012-11,2
cornea-questions,2012-11,2
corpulence-questions,2012-11,14
cortisol-questions,2012-11,2
cough-questions,2012-11,61
cramps-questions,2012-11,18
craving-questions,2012-11,4
croup-questions,2012-11,2
crying-questions,2012-11,18
cuts-questions,2012-11,2
cystic-acne-questions,2012-11,2
cyst-questions,2012-11,27
dairy-product-questions,2012-11,2
dark-chocolate-questions,2012-11,2
degenerative-disc-disease-questions,2012-11,3
dehydration-questions,2012-11,6
delayed-ejaculation-questions,2012-11,2
delusions-questions,2012-11,2
dental-questions,2012-11,7
depo-provera-questions,2012-11,2
depression-questions,2012-11,22
diabetes-questions,2012-11,68
diabetic-neuropathy-questions,2012-11,4
dialysis-questions,2012-11,6
diarrhea-questions,2012-11,33
diet-pills-questions,2012-11,6
diet-questions,2012-11,44
digestive-system-questions,2012-11,4
disorientation-questions,2012-11,2
diverticulitis-questions,2012-11,2
dizziness-questions,2012-11,61
dog-questions,2012-11,18
down-syndrome-questions,2012-11,2
drainage-questions,2012-11,14
drinking-questions,2012-11,64
drool-questions,2012-11,2
drug-abuse-questions,2012-11,2
drug-questions,2012-11,26
drug-test-questions,2012-11,6
dry-mouth-questions,2012-11,6
dry-skin-questions,2012-11,7
dry-socket-questions,2012-11,2
dyslexia-questions,2012-11,3
dyspnea-questions,2012-11,2
eardrum-questions,2012-11,4
ear-drum-questions,2012-11,2
ear-infection-questions,2012-11,12
ears-questions,2012-11,66
echocardiogram-questions,2012-11,5
egg-whites-questions,2012-11,2
ejaculation-questions,2012-11,34
elbow-questions,2012-11,11
emergency-room-questions,2012-11,4
endometriosis-questions,2012-11,2
epidural-questions,2012-11,2
epilepsy-questions,2012-11,2
erectile-dysfunction-questions,2012-11,5
erection-questions,2012-11,22
erythema-questions,2012-11,2
estrogen-questions,2012-11,2
exercise-questions,2012-11,80
exercise-stress-test-questions,2012-11,2
eyeball-questions,2012-11,2
eyebrow-questions,2012-11,4
eyelid-questions,2012-11,8
eyes-questions,2012-11,52
family-questions,2012-11,32
fatigue-questions,2012-11,26
fatty-liver-disease-questions,2012-11,2
fear-questions,2012-11,34
feeding-questions,2012-11,8
fertility-questions,2012-11,6
fetus-questions,2012-11,4
fever-questions,2012-11,59
fibromyalgia-questions,2012-11,11
finger-questions,2012-11,37
first-trimester-questions,2012-11,2
fish-questions,2012-11,4
flu-questions,2012-11,27
folic-acid-questions,2012-11,7
food-questions,2012-11,52
foot-questions,2012-11,31
forearm-questions,2012-11,6
forehead-questions,2012-11,13
forgetfulness-questions,2012-11,2
fracture-questions,2012-11,10
fruit-questions,2012-11,5
gallbladder-questions,2012-11,12
gallbladder-removal-questions,2012-11,2
gallstone-questions,2012-11,2
gastric-bypass-surgery-questions,2012-11,5
gender-questions,2012-11,2
genital-herpes-questions,2012-11,8
genitalia-questions,2012-11,4
gestational-diabetes-questions,2012-11,2
giddiness-questions,2012-11,2
ginger-questions,2012-11,2
gingivitis-questions,2012-11,2
glaucoma-questions,2012-11,2
gonorrhea-questions,2012-11,4
grains-questions,2012-11,2
grape-questions,2012-11,2
grief-questions,2012-11,4
hair-questions,2012-11,28
hallucination-questions,2012-11,8
hand-foot-and-mouth-disease-questions,2012-11,2
hand-questions,2012-11,68
headache-questions,2012-11,77
head-injury-questions,2012-11,5
head-questions,2012-11,77
healing-questions,2012-11,30
healthy-eating-questions,2012-11,9
heart-attack-questions,2012-11,5
heartburn-questions,2012-11,6
heart-disease-questions,2012-11,11
heart-murmur-questions,2012-11,5
heart-questions,2012-11,50
heart-surgery-questions,2012-11,2
heart-valve-questions,2012-11,2
heat-rash-questions,2012-11,3
heel-questions,2012-11,2
height-questions,2012-11,27
hematoma-questions,2012-11,3
hemmorhoid-questions,2012-11,2
hemoglobin-questions,2012-11,6
hepatitis-c-questions,2012-11,2
hepatocellular-carcinoma-questions,2012-11,2
herb-questions,2012-11,4
hernia-questions,2012-11,4
herpes-questions,2012-11,21
high-blood-pressure-questions,2012-11,14
hike-questions,2012-11,3
hip-pain-questions,2012-11,2
hives-questions,2012-11,5
hiv-questions,2012-11,8
honey-questions,2012-11,2
hookworm-questions,2012-11,3
hormone-questions,2012-11,4
hot-flash-questions,2012-11,5
hunger-questions,2012-11,13
hydrocodone-questions,2012-11,10
hydrogen-peroxide-questions,2012-11,4
hydronephrosis-questions,2012-11,2
hyperhidrosis-questions,2012-11,2
hypothyroidism-questions,2012-11,10
hysterectomy-questions,2012-11,12
ibuprofen-questions,2012-11,14
immune-system-questions,2012-11,4
impetigo-questions,2012-11,2
incontinence-questions,2012-11,3
index-finger-questions,2012-11,2
indigestion-questions,2012-11,4
